"ID","word","total"
870,"clout",42
871,"everyone",42
872,"eye",42
873,"glass",42
874,"green",42
875,"luck",42
876,"n",42
877,"patek",42
878,"s",42
879,"santa",42
880,"sex",42
881,"small",42
882,"snow",42
883,"spin",42
884,"strings",42
885,"thot",42
886,"whiskey",42
887,"angel",41
888,"brothers",41
889,"dig",41
890,"dollar",41
891,"dong",41
892,"haha",41
893,"has",41
894,"it'll",41
895,"merry",41
896,"moon",41
897,"must",41
898,"sunday",41
899,"team",41
900,"wants",41
901,"watchin",41
902,"aimin",40
903,"anybody",40
904,"beef",40
905,"date",40
906,"dog",40
907,"hittin",40
908,"known",40
909,"picture",40
910,"sick",40
911,"slatt",40
912,"smokin",40
913,"story",40
914,"use",40
915,"words",40
916,"wraith",40
917,"ballin",39
918,"bentley",39
919,"callin",39
920,"fans",39
921,"follow",39
922,"great",39
923,"killed",39
924,"leaving",39
925,"ocean",39
926,"peace",39
927,"played",39
928,"press",39
929,"sold",39
930,"son",39
931,"taking",39
932,"tiene",39
933,"weed",39
934,"wet",39
935,"wuh",39
936,"boyfriend",38
937,"burning",38
938,"crown",38
939,"cryin",38
940,"cuando",38
941,"dad",38
942,"fault",38
943,"fell",38
944,"finally",38
945,"hunnid",38
946,"makes",38
947,"police",38
948,"popped",38
949,"prayin",38
950,"skate",38
951,"um",38
952,"bells",37
953,"cars",37
954,"dropped",37
955,"hoy",37
956,"hurts",37
957,"keepin",37
958,"king",37
959,"london",37
960,"means",37
961,"mud",37
962,"needs",37
963,"playing",37
964,"plenty",37
965,"problems",37
966,"prove",37
967,"rise",37
968,"saying",37
969,"shoes",37
970,"storm",37
971,"stylist",37
972,"throwin",37
973,"v",37
974,"va",37
975,"12",36
976,"40",36
977,"bebé",36
978,"born",36
979,"breath",36
980,"brown",36
981,"bus",36
982,"california",36
983,"chasing",36
984,"chicken",36
985,"crack",36
986,"ex",36
987,"guap",36
988,"hah",36
989,"havin",36
990,"kitchen",36
991,"lambo",36
992,"learn",36
993,"nobody's",36
994,"porque",36
995,"queen",36
996,"read",36
997,"should've",36
998,"special",36
999,"store",36
1000,"taught",36
1001,"una",36
1002,"west",36
1003,"admit",35
1004,"bottle",35
1005,"breathe",35
1006,"brought",35
1007,"clean",35
1008,"closed",35
1009,"clothes",35
1010,"darkness",35
1011,"death",35
1012,"designer",35
1013,"dollars",35
1014,"doot",35
1015,"eah",35
1016,"empty",35
1017,"fame",35
1018,"fit",35
1019,"grab",35
1020,"greatest",35
1021,"isn't",35
1022,"knees",35
1023,"las",35
1024,"plan",35
1025,"soy",35
1026,"tryin",35
1027,"worry",35
1028,"write",35
1029,"6",34
1030,"chains",34
1031,"codeine",34
1032,"draco",34
1033,"eight",34
1034,"flow",34
1035,"gether",34
1036,"grew",34
1037,"handle",34
1038,"hopes",34
1039,"jumpin",34
1040,"leavin",34
1041,"magic",34
1042,"millions",34
1043,"reach",34
1044,"sight",34
1045,"soup",34
1046,"taste",34
1047,"tree",34
1048,"very",34
1049,"wind",34
1050,"wipe",34
1051,"workin",34
1052,"worse",34
1053,"apart",33
1054,"attached",33
1055,"bright",33
1056,"c'mon",33
1057,"chance",33
1058,"dying",33
1059,"enemies",33
1060,"everywhere",33
1061,"extra",33
1062,"fendi",33
1063,"fold",33
1064,"jesus",33
1065,"lotta",33
1066,"mil",33
1067,"noodle",33
1068,"notice",33
1069,"number",33
1070,"psycho",33
1071,"respect",33
1072,"roof",33
1073,"sittin",33
1074,"snitch",33
1075,"walkin",33
1076,"woke",33
1077,"woman",33
1078,"10",32
1079,"band",32
1080,"boat",32
1081,"case",32
1082,"daughter",32
1083,"dirt",32
1084,"finger",32
1085,"funny",32
1086,"grow",32
1087,"heartless",32
1088,"hearts",32
1089,"holding",32
1090,"keeps",32
1091,"least",32
1092,"lover",32
1093,"monster",32
1094,"nasty",32
1095,"near",32
1096,"poom",32
1097,"rappin",32
1098,"record",32
1099,"second",32
1100,"she'll",32
1101,"sucker",32
1102,"taki",32
1103,"thriller",32
1104,"tip",32
1105,"wall",32
1106,"wan",32
1107,"working",32
1108,"woulda",32
1109,"yummy",32
1110,"acting",31
1111,"box",31
1112,"could've",31
1113,"ese",31
1114,"everyday",31
1115,"fat",31
1116,"hatin",31
1117,"ni",31
1118,"quarter",31
1119,"raise",31
1120,"saved",31
1121,"self",31
1122,"sign",31
1123,"sin",31
1124,"slidin",31
1125,"strawberry",31
1126,"switchin",31
1127,"tomorrow",31
1128,"window",31
1129,"yellow",31
1130,"yup",31
1131,"30",30
1132,"anyone",30
1133,"beer",30
1134,"bread",30
1135,"bullshit",30
1136,"chest",30
1137,"clip",30
1138,"either",30
1139,"estaba",30
1140,"evil",30
1141,"faith",30
1142,"guitar",30
1143,"job",30
1144,"kid",30
1145,"lift",30
1146,"loving",30
1147,"mí",30
1148,"oo",30
1149,"peels",30
1150,"pills",30
1151,"pistol",30
1152,"pour",30
1153,"problem",30
1154,"south",30
1155,"strong",30
1156,"swag",30
1157,"tongue",30
1158,"underneath",30
1159,"whenever",30
1160,"which",30
1161,"worried",30
1162,"answer",29
1163,"bling",29
1164,"blowin",29
1165,"booty",29
1166,"checks",29
1167,"drown",29
1168,"drug",29
1169,"fear",29
1170,"forgot",29
1171,"forth",29
1172,"fue",29
1173,"guns",29
1174,"hace",29
1175,"homie",29
1176,"killin",29
1177,"lady",29
1178,"laugh",29
1179,"looks",29
1180,"los",29
1181,"m",29
1182,"men",29
1183,"mood",29
1184,"mornin",29
1185,"mothafuckin",29
1186,"motion",29
1187,"nine",29
1188,"pretend",29
1189,"private",29
1190,"pullin",29
1191,"singing",29
1192,"sola",29
1193,"solo",29
1194,"somewhere",29
1195,"steady",29
1196,"supposed",29
1197,"totally",29
1198,"bags",28
1199,"baow",28
1200,"bustin",28
1201,"child",28
1202,"coast",28
1203,"cum",28
1204,"ee",28
1205,"everybody's",28
1206,"feliz",28
1207,"flex",28
1208,"goddamn",28
1209,"haters",28
1210,"haven't",28
1211,"heartbreak",28
1212,"hopped",28
1213,"instead",28
1214,"level",28
1215,"mahogany",28
1216,"memories",28
1217,"muller",28
1218,"numb",28
1219,"numbers",28
1220,"sand",28
1221,"sent",28
1222,"sheets",28
1223,"spit",28
1224,"sticks",28
1225,"teeth",28
1226,"wide",28
1227,"yah",28
1228,"ahora",27
1229,"bein",27
1230,"blind",27
1231,"bullets",27
1232,"business",27
1233,"c",27
1234,"candy",27
1235,"chill",27
1236,"cover",27
1237,"dash",27
1238,"dawgs",27
1239,"dior",27
1240,"fingers",27
1241,"flip",27
1242,"fresh",27
1243,"friday",27
1244,"giving",27
1245,"knife",27
1246,"mate",27
1247,"may",27
1248,"missin",27
1249,"molly",27
1250,"movie",27
1251,"plate",27
1252,"pole",27
1253,"post",27
1254,"rockin",27
1255,"season",27
1256,"shootin",27
1257,"walked",27
1258,"ways",27
1259,"whippin",27
1260,"zone",27
1261,"24",26
1262,"50",26
1263,"anyway",26
1264,"anywhere",26
1265,"bend",26
1266,"brick",26
1267,"clap",26
1268,"corner",26
1269,"dancin",26
1270,"darling",26
1271,"demons",26
1272,"grind",26
1273,"hangin",26
1274,"honey",26
1275,"jail",26
1276,"key",26
1277,"killer",26
1278,"lifestyle",26
1279,"loose",26
1280,"maybach",26
1281,"mía",26
1282,"moves",26
1283,"person",26
1284,"royce",26
1285,"shark",26
1286,"smell",26
1287,"stopping",26
1288,"strap",26
1289,"text",26
1290,"thoughts",26
1291,"twice",26
1292,"watermelon",26
1293,"who's",26
1294,"wit",26
1295,"angels",25
1296,"attention",25
1297,"bite",25
1298,"bless",25
1299,"bricks",25
1300,"clock",25
1301,"countin",25
1302,"crew",25
1303,"dice",25
1304,"drinks",25
1305,"drivin",25
1306,"focused",25
1307,"holiday",25
1308,"less",25
1309,"lines",25
1310,"lyin",25
1311,"mansion",25
1312,"mess",25
1313,"mom",25
1314,"note",25
1315,"paradise",25
1316,"perreo",25
1317,"pockets",25
1318,"race",25
1319,"raised",25
1320,"rip",25
1321,"rocks",25
1322,"roxanne",25
1323,"seven",25
1324,"sleigh",25
1325,"slim",25
1326,"tag",25
1327,"thug",25
1328,"tough",25
1329,"view",25
1330,"wheezy",25
1331,"arm",24
1332,"attitude",24
1333,"barely",24
1334,"breaks",24
1335,"chilly",24
1336,"chop",24
1337,"claus",24
1338,"dare",24
1339,"difference",24
1340,"drank",24
1341,"ends",24
1342,"faded",24
1343,"figure",24
1344,"fix",24
1345,"flyin",24
1346,"givin",24
1347,"glad",24
1348,"gram",24
1349,"holdin",24
1350,"hurry",24
1351,"ling",24
1352,"lucky",24
1353,"match",24
1354,"messin",24
1355,"mike",24
1356,"older",24
1357,"plans",24
1358,"plug",24
1359,"pum",24
1360,"rari",24
1361,"richard",24
1362,"riding",24
1363,"signs",24
1364,"singin",24
1365,"tear",24
1366,"test",24
1367,"they'll",24
1368,"tote",24
1369,"vroom",24
1370,"5",23
1371,"above",23
1372,"ahh",23
1373,"amazing",23
1374,"asked",23
1375,"aw",23
1376,"awake",23
1377,"bah",23
1378,"bird",23
1379,"blunt",23
1380,"bop",23
1381,"brazy",23
1382,"bum",23
1383,"celebrate",23
1384,"chan",23
1385,"demon",23
1386,"dj",23
1387,"dyin",23
1388,"flame",23
1389,"grave",23
1390,"hoppin",23
1391,"horse",23
1392,"hundreds",23
1393,"judge",23
1394,"liar",23
1395,"lovers",23
1396,"mans",23
1397,"nails",23
1398,"nuts",23
1399,"ol",23
1400,"paint",23
1401,"physical",23
1402,"pipe",23
1403,"pure",23
1404,"range",23
1405,"raw",23
1406,"rent",23
1407,"rings",23
1408,"route",23
1409,"showed",23
1410,"sounds",23
1411,"speak",23
1412,"stack",23
1413,"stayed",23
1414,"takes",23
1415,"tay",23
1416,"throat",23
1417,"tune",23
1418,"turnin",23
1419,"verse",23
1420,"walking",23
1421,"weak",23
1422,"would've",23
1423,"yum",23
1424,"z",23
1425,"2",22
1426,"aight",22
1427,"bobby",22
1428,"bottles",22
1429,"bullet",22
1430,"checked",22
1431,"comfortable",22
1432,"conversation",22
1433,"drum",22
1434,"dum",22
1435,"easier",22
1436,"false",22
1437,"fan",22
1438,"finish",22
1439,"flew",22
1440,"fraud",22
1441,"glasses",22
1442,"hasta",22
1443,"hole",22
1444,"homemade",22
1445,"honky",22
1446,"internet",22
1447,"issues",22
1448,"juicy",22
1449,"killers",22
1450,"lane",22
1451,"loyal",22
1452,"mhm",22
1453,"mirror",22
1454,"months",22
1455,"moving",22
1456,"opp",22
1457,"perreando",22
1458,"plane",22
1459,"prada",22
1460,"proud",22
1461,"puttin",22
1462,"riches",22
1463,"rose",22
1464,"rudolph",22
1465,"sack",22
1466,"scream",22
1467,"sellin",22
1468,"slip",22
1469,"squad",22
1470,"startin",22
1471,"stole",22
1472,"stoppin",22
1473,"sunrise",22
1474,"sweat",22
1475,"swervin",22
1476,"table",22
1477,"thick",22
1478,"vision",22
1479,"whack",22
1480,"woh",22
1481,"worst",22
1482,"yet",22
1483,"addicted",21
1484,"baddest",21
1485,"balenciaga",21
1486,"bell",21
1487,"blessed",21
1488,"blew",21
1489,"boo",21
1490,"cake",21
1491,"card",21
1492,"chika",21
1493,"color",21
1494,"compare",21
1495,"cook",21
1496,"crowd",21
1497,"deserve",21
1498,"disco",21
1499,"eatin",21
1500,"ghost",21
1501,"happened",21
1502,"hay",21
1503,"he'll",21
1504,"higher",21
1505,"idea",21
1506,"isis",21
1507,"j",21
1508,"jack",21
1509,"jumped",21
1510,"killing",21
1511,"lam",21
1512,"lame",21
1513,"m's",21
1514,"mask",21
1515,"natural",21
1516,"navidad",21
1517,"noche",21
1518,"otra",21
1519,"payin",21
1520,"question",21
1521,"rapper",21
1522,"rolling",21
1523,"scene",21
1524,"shits",21
1525,"shorty",21
1526,"soda",21
1527,"southbound",21
1528,"static",21
1529,"stone",21
1530,"tall",21
1531,"threw",21
1532,"thuggin",21
1533,"vvs",21
1534,"we'd",21
1535,"weekend",21
1536,"welcome",21
1537,"wondering",21
1538,"3",20
1539,"ad",20
1540,"agree",20
1541,"balenci",20
1542,"breakin",20
1543,"buck",20
1544,"buyin",20
1545,"calm",20
1546,"cartier",20
1547,"cheap",20
1548,"church",20
1549,"closer",20
1550,"college",20
1551,"deeper",20
1552,"doubt",20
1553,"drama",20
1554,"fair",20
1555,"gate",20
1556,"geeked",20
